,Title,Misclassified,Accuracy,False positives,False negatives,Time,Mean score
0,Naive Bayes Gaussian,153.0,0.842608695652174,89.0,64.0,0.009396076202392578,0.842608695652174
1,KNN With neighbors=1,72.0,0.8682608695652174,40.0,32.0,0.0027892589569091797,0.8682608695652174
2,KNN With neighbors=2,73.0,0.8602173913043478,16.0,57.0,0.0024907588958740234,0.8602173913043478
3,KNN With neighbors=3,62.0,0.8730434782608697,32.0,30.0,0.0025370121002197266,0.8730434782608697
4,KNN With neighbors=4,64.0,0.8736956521739131,24.0,40.0,0.002434968948364258,0.8736956521739131
5,KNN With neighbors=5,60.0,0.8736956521739131,30.0,30.0,0.0026330947875976562,0.8736956521739131
6,KNN With neighbors=10,73.0,0.8982608695652174,31.0,42.0,0.002547025680541992,0.8982608695652174
7,KNN With neighbors=15,73.0,0.8934782608695653,35.0,38.0,0.0025038719177246094,0.8934782608695653
8,KNN With neighbors=20,83.0,0.8906521739130435,37.0,46.0,0.002758026123046875,0.8906521739130435
9,KNN With neighbors=25,82.0,0.8871739130434783,39.0,43.0,0.0028018951416015625,0.8871739130434783
10,KNN With neighbors=30,90.0,0.8865217391304349,44.0,46.0,0.002405881881713867,0.8865217391304349
11,Random forest estimators=1,108.0,0.8602173913043479,56.0,52.0,0.011304140090942383,0.8602173913043479
12,Random forest estimators=10,62.0,0.9095652173913044,21.0,41.0,0.06677389144897461,0.9095652173913044
13,Random forest estimators=20,53.0,0.9158695652173913,22.0,31.0,0.08892107009887695,0.9158695652173913
14,Random forest estimators=50,52.0,0.9182608695652175,20.0,32.0,0.21082401275634766,0.9182608695652175
15,Random forest estimators=100,51.0,0.917608695652174,23.0,28.0,0.44471073150634766,0.917608695652174
16,Random forest estimators=150,48.0,0.9191304347826087,18.0,30.0,0.6306891441345215,0.9191304347826087
17,Random forest estimators=200,48.0,0.917391304347826,20.0,28.0,0.9072959423065186,0.917391304347826
18,Random forest estimators=250,50.0,0.917391304347826,20.0,30.0,1.1597628593444824,0.917391304347826
19,Random forest estimators=300,49.0,0.9189130434782609,19.0,30.0,1.3205349445343018,0.9189130434782609
20,Random forest estimators=400,49.0,0.9193478260869565,19.0,30.0,1.8225080966949463,0.9193478260869565
21,SVM Radial C=1.0,68.0,0.9180434782608696,26.0,42.0,0.2469480037689209,0.9180434782608696
22,SVM Radial C=10.0,50.0,0.9173913043478261,19.0,31.0,0.28386902809143066,0.9173913043478261
23,SVM Radial C=100.0,64.0,0.9102173913043478,28.0,36.0,0.2589738368988037,0.9102173913043478
24,SVM Polynomial C=1.0,319.0,0.6491304347826088,0.0,319.0,0.41896605491638184,0.6491304347826088
25,SVM Polynomial C=10.0,208.0,0.7554347826086957,5.0,203.0,0.40865111351013184,0.7554347826086957
26,SVM Polynomial C=100.0,138.0,0.828695652173913,12.0,126.0,0.34351015090942383,0.828695652173913
27,SVM Linear C=1.0,69.0,0.8982608695652174,28.0,41.0,0.2953488826751709,0.8982608695652174
28,SVM Linear C=10.0,68.0,0.8980434782608697,27.0,41.0,1.360126256942749,0.8980434782608697
29,SVM Linear C=100.0,70.0,0.8984782608695653,28.0,42.0,10.392858982086182,0.8984782608695653
30,SVM Angular C=1.0,377.0,0.6060869565217393,0.0,377.0,0.36976075172424316,0.6060869565217393
31,SVM Angular C=10.0,373.0,0.6102173913043478,3.0,370.0,0.27544522285461426,0.6102173913043478
32,SVM Angular C=100.0,117.0,0.8615217391304348,33.0,84.0,0.2697148323059082,0.8615217391304348
